Province,Seats,Party,Allegiance,Votes,Weight,Senate_Seats
Buenos Aires,35,JxC,JxC,38,0.3701,0
,,Frente de Todos,PJ,41,,
,,Vamos con Vos,PJ,6,,
,,FIT,Izquierda,5,,
,,Avanza Libertad,Libertario,6,,
,,Otra Izquierda,Izquierda,1,,
,,Valores,Derecha,1,,
,,Unión Futuro,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
CABA,13,JxC,JxC,52,0.0795,0
,,Frente de Todos,PJ,27,,
,,Tercera Izquierda,Izquierda,2,,
,,FIT,Izquierda,5,,
,,La Libertad Avanza,Libertario,9,,
,,Otra Izquierda,Izquierda,3,,
,,Partido Federal CABA,Independiente,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Catamarca,3,JxC,JxC,38,0.0092,3
,,Frente de Todos,PJ,52,,
,,FAC,PJ,6,,
,,FIT,Izquierda,3,,
,,Generación,Independiente,1,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Chaco,4,JxC,JxC,39,0.0272,0
,,Frente de Todos,PJ,45,,
,,Frente Integrador,PJ,10,,
,,Partido Obrero,Izquierda,2,,
,,Frente Libertario,Libertario,1,,
,,Otra Izquierda,Izquierda,1,,
,,Accion Chaqueña,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Chubut,2,JxC,JxC,32,0.0129,3
,,Frente de Todos,PJ,26,,
,,Chubut Somos Todos,PJ,31,,
,,FIT,Izquierda,5,,
,,Frente Libertario,Libertario,2,,
,,P.I.Chubut,Independiente,2,,
,,NOS,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Cordoba,9,JxC,JxC,48,0.0868,3
,,Frente de Todos,PJ,13,,
,,Hacemos Cordoba,PJ,28,,
,,FIT,Izquierda,3,,
,,La Libertad Avanza,Libertario,3,,
,,Encuentro Vecinal,Independiente,3,,
,,Union Popular Federal,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Corrientes,3,JxC,JxC,48,0.0253,3
,,Frente de Todos,PJ,40,,
,,Otro PJ,PJ,2,,
,,FIT,Izquierda,4,,
,,Frente Libertario,Libertario,2,,
,,Con Vos,Izquierda,2,,
,,NOS,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Entre Rios,5,JxC,JxC,48,0.0321,0
,,Frente de Todos,PJ,41,,
,,Partido Fe,PJ,2,,
,,FIT,Izquierda,4,,
,,Frente Libertario,Libertario,2,,
,,Otra Izquierda,Izquierda,1,,
,,P.Cons.Popular,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Formosa,2,JxC,JxC,33,0.0131,0
,,Frente de Todos,PJ,62,,
,,FIT,Izquierda,2,,
,,Frente EC Vos,Independiente,3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Jujuy,3,JxC,JxC,49,0.0159,0
,,Frente de Todos,PJ,36,,
,,PJ Local,PJ,3,,
,,FIT,Izquierda,12,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
La Pampa,3,JxC,JxC,42,0.0084,3
,,Frente de Todos,PJ,46,,
,,FIT,Izquierda,4,,
,,Otra Izquierda,Izquierda,2,,
,,Vamos con Vos,PJ,6,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
La Rioja,2,JxC,JxC,43,0.0086,0
,,Frente de Todos,PJ,47,,
,,Unidos por La Rioja,JxC,4,,
,,FIT,Izquierda,6,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Mendoza,5,JxC,JxC,50,0.0425,3
,,Frente de Todos,PJ,24,,
,,Partido Federal,PJ,13,,
,,FIT,Izquierda,5,,
,,Vamos Mendocinos,JxC,4,,
,,Otra Izquierda,Izquierda,2,,
,,Compromiso Federal,Independiente,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Misiones,3,JxC,JxC,35,0.0264,0
,,Frente de Todos,PJ,12,,
,,Frente Renovador de la Concordia,PJ,44,,
,,FIT,Izquierda,4,,
,,NOS,Derecha,5,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Neuquen,3,JxC,JxC,32,0.0155,0
,,Frente de Todos,PJ,25,,
,,MPN,Independiente,28,,
,,FIT,Izquierda,5,,
,,CC-ARI,JxC,5,,
,,MAS,Izquierda,3,,
,,NOS,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Rio Negro,2,JxC,JxC,32,0.0159,0
,,Frente de Todos,PJ,35,,
,,Juntos Somos Rio Negro,PJ,23,,
,,FIT,Izquierda,4,,
,,Frente Libertario,Libertario,2,,
,,MAS,Izquierda,2,,
,,Socialista,Izquierda,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Salta,3,JxC,JxC,32,0.0297,0
,,Frente de Todos,PJ,30,,
,,Unidos por Salta,PJ,26,,
,,FIT,Izquierda,5,,
,,Politica Obrera,Libertario,3,,
,,MAS,Izquierda,2,,
,,SI-PRS,PJ,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
San Juan,3,JxC,JxC,38,0.0167,0
,,Frente de Todos,PJ,52,,
,,FIT,Izquierda,6,,
,,F.Consenso Ischigualasto,Izquierda,4,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
San Luis,3,JxC,JxC,32,0.0112,0
,,Frente de Todos,PJ,46,,
,,UCR,JxC,13,,
,,FIT,Izquierda,4,,
,,Todos Unidos,Independiente,2,,
,,Otra Izquierda,Izquierda,1,,
,,NOS,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Santa Cruz,3,JxC,JxC,38,0.0074,0
,,Frente de Todos,PJ,47,,
,,MAS,Izquierda,3,,
,,FIT,Izquierda,6,,
,,Ser Santa Cruz,Independiente,6,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Santa Fe,9,JxC,JxC,40,0.0836,3
,,Frente de Todos,PJ,37,,
,,FAP,Independiente,10,,
,,FIT,Izquierda,5,,
,,Primero Santa Fe,Independiente,3,,
,,MAS,Izquierda,2,,
,,Unite,Derecha,3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Santiago Del Estero,3,JxC,JxC,21,0.0217,0
,,Frente de Todos,PJ,62,,
,,FIT,Izquierda,5,,
,,Patriotico Laborista,Independiente,5,,
,,MAS,Izquierda,3,,
,,UNITE,Derecha,4,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Tierra Del Fuego,2,JxC,JxC,30,0.0039,0
,,Frente de Todos,PJ,28,,
,,MPF,Independiente,29,,
,,FIT,Izquierda,4,,
,,Republicanos Unidos,Libertario,4,,
,,MAS,Izquierda,3,,
,,Somos Fueguinos,Independiente,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Tucuman,4,JxC,JxC,34,0.0364,3
,,Frente de Todos,PJ,45,,
,,Fuerza Republicana,Independiente,13,,
,,FIT,Izquierda,5,,
,,FAT,Izquierda,3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
