Province,Seats,Party,Allegiance,Votes,Weight,Senate_Seats
Catamarca,3,JxC,JxC,33.5,0.0092,3
,,Frente de Todos,PJ,55.5,,
,,FA Catamarqueño,Independiente,5.3,,
,,FIT,Izquierda,3.5,,
,,Corriente de Pensamiento Catarmarqueño,Independiente,2.2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Chubut,3,JxC,JxC,41,0.0129,3
,,Frente de Todos,PJ,27,,
,,Chubut Somos Todos,PJ,14,,
,,FIT,Izquierda,10,,
,,P Indep de Chubut,Independiente,8,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Cordoba,3,JxC,JxC,50.5,0.0868,3
,,Frente de Todos,PJ,11.8,,
,,Hacemos Cordoba,PJ,25.5,,
,,FIT,Izquierda,4.2,,
,,La Libertad Avanza,Libertario,1.5,,
,,EVC,Independiente,4,,
,,UPF,Derecha,2.5,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Corrientes,3,JxC,JxC,59.5,0.0253,3
,,Frente de Todos,PJ,35.5,,
,,VMC Corrientes,Izquierda,3,,
,,Compromiso Corrientes,Independiente,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
La Pampa,3,JxC,JxC,49.8,0.0084,3
,,Frente de Todos,PJ,39.7,,
,,FIT,Izquierda,5,,
,,PS,Izquierda,3,,
,,MAS,Independiente,2.5,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Mendoza,3,JxC,JxC,49.3,0.0425,3
,,Frente de Todos,PJ,28.1,,
,,Verde,Independiente,6.1,,
,,FIT,Izquierda,5.9,,
,,PF Mendoza,Independiente,3.8,,
,,Compromiso Federal Mendocino,PJ,3,,
,,Vamos Mendocinos,Independiente,3.8,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Santa Fe,3,JxC,JxC,42.5,0.0836,3
,,Frente de Todos,PJ,32.1,,
,,FAP,Independiente,11.3,,
,,Unite,Derecha,3.5,,
,,Soberania,Izquierda,2.9,,
,,Primero Santa Fe,Independiente,2,,
,,Somos Futuro,Independiente,2,,
,,Podemos,Izquierda,1.9,,
,,FIT,Izquierda,1.8,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Tucuman,3,JxC,JxC,36.3,0.0364,3
,,Frente de Todos,PJ,50.2,,
,,Fuerza Reoublicana,Independiente,8,,
,,FIT,Izquierda,2.5,,
,,FAT,Izquierda,3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
