Province,Seats,Party,Allegiance,Votes,Weight,Senate_Seats
Catamarca,3,JxC,JxC,42,0.0092,3
,,Frente de Todos,PJ,48,,
,,FA Catamarqueño,Independiente,2,,
,,FIT,Izquierda,6,,
,,Generacion,Independiente,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Chubut,3,JxC,JxC,30,0.0129,3
,,Frente de Todos,PJ,40,,
,,Chubut Somos Todos,PJ,25,,
,,FIT,Izquierda,4,,
,,P Indep de Chubut,Independiente,1,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Cordoba,3,JxC,JxC,48,0.0868,3
,,Frente de Todos,PJ,10,,
,,Hacemos Cordoba,PJ,30,,
,,FIT,Izquierda,3,,
,,La Libertad Avanza,Libertario,4,,
,,MAS,Izquierda,3,,
,,UPF,Derecha,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Corrientes,3,JxC,JxC,47,0.0253,3
,,Frente de Todos,PJ,38,,
,,VMC Corrientes,Izquierda,2,,
,,U. Celeste y Blanco,Derecha,5,,
,,Compromiso Corrientes,Independiente,8,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
La Pampa,3,JxC,JxC,41,0.0084,3
,,Frente de Todos,PJ,48,,
,,FIT,Izquierda,6,,
,,MAS,Izquierda,2,,
,,PS,Independiente,3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Mendoza,3,JxC,JxC,47,0.0425,3
,,Frente de Todos,PJ,25,,
,,Vamos Mendocinos,Independiente,13,,
,,FIT,Izquierda,5,,
,,PF Mendoza,Independiente,5,,
,,Dignidad Mendoza,Independiente,3,,
,,Partido Verde,Independiente,2,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Santa Fe,3,JxC,JxC,41,0.0836,3
,,Frente de Todos,PJ,38,,
,,FAP,Independiente,0,,
,,FIT,Izquierda,6,,
,,MAS,Izquierda,8,,
,,Podemos ,Independiente,4,,
,,Unite,Derecha,3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Tucuman,3,JxC,JxC,38,0.0364,3
,,Frente de Todos,PJ,48,,
,,Fuerza Reoublicana,Independiente,10,,
,,FIT,Izquierda,3,,
,,FAT,Izquierda,1,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
